"No.","Time","Source","Destination","Protocol","Length","Info"
"266411","19:39:04.949005","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x1c28 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"267240","19:39:05.187759","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x1c28 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"294494","19:39:16.427378","10.107.135.158","118.98.44.50","DNS","80","Standard query 0x1487 A beacons.gcp.gvt2.com"
"294495","19:39:16.428483","10.107.135.158","118.98.44.50","DNS","80","Standard query 0x95a3 HTTPS beacons.gcp.gvt2.com"
"294521","19:39:16.449308","118.98.44.50","10.107.135.158","DNS","152","Standard query response 0x1487 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com CNAME gce-beacons.gcp.gvt2.com A 35.241.7.193"
"294529","19:39:16.451373","118.98.44.50","10.107.135.158","DNS","193","Standard query response 0x95a3 HTTPS beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com CNAME gce-beacons.gcp.gvt2.com SOA ns1.google.com"
"318902","19:39:26.138999","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xdf4a A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"320086","19:39:26.867336","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xdf4a A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"320626","19:39:27.198349","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0xdf4a A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"321733","19:39:27.647276","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0xdf4a A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"331765","19:39:31.912133","10.107.135.158","180.250.13.34","DNS","80","Standard query 0x6bd9 A beacons.gcp.gvt2.com"
"331766","19:39:31.912688","10.107.135.158","180.250.13.34","DNS","80","Standard query 0x1c9b HTTPS beacons.gcp.gvt2.com"
"331864","19:39:31.975050","180.250.13.34","10.107.135.158","DNS","167","Standard query response 0x1c9b HTTPS beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com SOA ns1.google.com"
"331865","19:39:31.975050","180.250.13.34","10.107.135.158","DNS","152","Standard query response 0x6bd9 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com CNAME gce-beacons.gcp.gvt2.com A 35.201.104.59"
"359675","19:39:43.479088","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x818c A www.msftconnecttest.com"
"359697","19:39:43.531516","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0x818c A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"369014","19:39:47.387232","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xd073 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"370236","19:39:48.054067","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0xd073 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns1.amzndns.co.uk NS ns2.amzndns.com NS ns1.amzndns.net NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns1.amzndns.com NS ns2.amzndns.net NS ns2.amzndns.org"
"374918","19:39:50.694915","10.107.135.158","180.250.13.34","DNS","71","Standard query 0xa06c A b1.nel.goog"
"374919","19:39:50.695215","10.107.135.158","180.250.13.34","DNS","71","Standard query 0x168e HTTPS b1.nel.goog"
"375118","19:39:50.794017","180.250.13.34","10.107.135.158","DNS","87","Standard query response 0xa06c A b1.nel.goog A 74.125.24.94"
"375119","19:39:50.794017","180.250.13.34","10.107.135.158","DNS","131","Standard query response 0x168e HTTPS b1.nel.goog SOA ns1.google.com"
"407697","19:40:05.143108","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x80a4 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"408626","19:40:05.561603","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x80a4 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"438098","19:40:17.714388","10.107.135.158","118.98.44.50","DNS","80","Standard query 0x8304 A beacons.gcp.gvt2.com"
"438104","19:40:17.714855","10.107.135.158","118.98.44.50","DNS","80","Standard query 0xfa7e HTTPS beacons.gcp.gvt2.com"
"438155","19:40:17.736089","118.98.44.50","10.107.135.158","DNS","126","Standard query response 0x8304 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com A 74.125.24.94"
"438156","19:40:17.736089","118.98.44.50","10.107.135.158","DNS","193","Standard query response 0xfa7e HTTPS beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com CNAME gce-beacons.gcp.gvt2.com SOA ns1.google.com"
"460951","19:40:28.026321","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x7a3f A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"462204","19:40:28.640016","10.107.135.158","180.250.13.34","DNS","95","Standard query 0x45d6 A clientconfig.akamai.steamstatic.com"
