,Time,Destination,Info
328,19:32:18.571687,180.250.13.34,googleusercontent.com
331,19:32:21.297744,180.250.13.34,google.com
332,19:32:21.298206,180.250.13.34,google.com
335,19:32:22.068794,180.250.13.34,google.com
336,19:32:22.069043,180.250.13.34,google.com
339,19:32:22.343565,180.250.13.34,google.com
340,19:32:22.343970,180.250.13.34,google.com
343,19:32:22.785616,180.250.13.34,google.com
344,19:32:22.785967,180.250.13.34,google.com
347,19:32:22.802627,180.250.13.34,yasir252.com
348,19:32:22.803024,180.250.13.34,yasir252.com
351,19:32:23.708207,180.250.13.34,googletagmanager.com
352,19:32:23.708431,180.250.13.34,googletagmanager.com
355,19:32:23.804899,180.250.13.34,wp.com
356,19:32:23.805219,180.250.13.34,wp.com
359,19:32:24.201784,180.250.13.34,google-analytics.com
360,19:32:24.202052,180.250.13.34,google-analytics.com
363,19:32:24.247570,180.250.13.34,wp.com
364,19:32:24.247913,180.250.13.34,wp.com
365,19:32:24.251168,180.250.13.34,googleapis.com
366,19:32:24.251485,180.250.13.34,googleapis.com
371,19:32:25.888929,180.250.13.34,doubleclick.net
372,19:32:25.889286,180.250.13.34,doubleclick.net
375,19:32:26.393941,180.250.13.34,google.com
376,19:32:26.394180,180.250.13.34,google.com
379,19:32:31.168287,180.250.13.34,mongodb.net
380,19:32:31.408225,180.250.13.34,google.com
381,19:32:31.409137,180.250.13.34,google.com
383,19:32:31.464927,180.250.13.34,mongodb.net
387,19:32:32.054709,180.250.13.34,google.com
388,19:32:32.055444,180.250.13.34,google.com
391,19:32:33.156842,180.250.13.34,gvt2.com
392,19:32:33.157574,180.250.13.34,gvt2.com
395,19:32:40.153861,180.250.13.34,mongodb.net
397,19:32:42.607419,180.250.13.34,msftconnecttest.com
399,19:32:46.189376,180.250.13.34,google.com
400,19:32:46.189731,180.250.13.34,google.com
403,19:32:50.757300,180.250.13.34,google.co.id
404,19:32:50.757551,180.250.13.34,google.co.id
407,19:32:56.736651,180.250.13.34,google.com
408,19:32:56.737170,180.250.13.34,google.com
411,19:33:03.359361,180.250.13.34,intellimize.co
412,19:33:03.359626,180.250.13.34,intellimize.co
413,19:33:03.420109,180.250.13.34,doubleclick.net
414,19:33:03.420328,180.250.13.34,doubleclick.net
418,19:33:03.454669,180.250.13.34,googleadservices.com
419,19:33:03.454959,180.250.13.34,googleadservices.com
422,19:33:03.464307,180.250.13.34,doubleclick.net
423,19:33:03.464706,180.250.13.34,doubleclick.net
424,19:33:03.465951,180.250.13.34,quora.com
425,19:33:03.466160,180.250.13.34,quora.com
430,19:33:03.710852,180.250.13.34,googleapis.com
431,19:33:03.711214,180.250.13.34,googleapis.com
433,19:33:03.769438,180.250.13.34,google.com
434,19:33:03.769710,180.250.13.34,google.com
438,19:33:04.272493,180.250.13.34,doubleclick.net
439,19:33:04.272874,180.250.13.34,doubleclick.net
440,19:33:04.296307,180.250.13.34,google-analytics.com
441,19:33:04.296695,180.250.13.34,google-analytics.com
446,19:33:04.394341,180.250.13.34,google.com
447,19:33:04.394647,180.250.13.34,google.com
450,19:33:04.436378,180.250.13.34,siteimproveanalytics.io
451,19:33:04.436591,180.250.13.34,siteimproveanalytics.io
453,19:33:04.673711,180.250.13.34,lytics.io
454,19:33:04.674017,180.250.13.34,lytics.io
457,19:33:04.856674,180.250.13.34,intellimizeio.com
458,19:33:04.856962,180.250.13.34,intellimizeio.com
459,19:33:04.925310,180.250.13.34,intellimize.co
460,19:33:04.925663,180.250.13.34,intellimize.co
466,19:33:07.830491,180.250.13.34,nr-data.net
467,19:33:07.831032,180.250.13.34,nr-data.net
470,19:33:07.863446,180.250.13.34,polyfill.io
471,19:33:07.863892,180.250.13.34,polyfill.io
473,19:33:07.895733,180.250.13.34,googletagmanager.com
474,19:33:07.896318,180.250.13.34,googletagmanager.com
478,19:33:08.246179,180.250.13.34,googleapis.com
479,19:33:08.246458,180.250.13.34,googleapis.com
482,19:33:08.295148,180.250.13.34,oribi.io
483,19:33:08.295535,180.250.13.34,oribi.io
486,19:33:08.595305,180.250.13.34,launchdarkly.com
487,19:33:08.595595,180.250.13.34,launchdarkly.com
490,19:33:08.744960,180.250.13.34,launchdarkly.com
491,19:33:08.745172,180.250.13.34,launchdarkly.com
494,19:33:09.218949,180.250.13.34,launchdarkly.com
495,19:33:09.219343,180.250.13.34,launchdarkly.com
498,19:33:33.240393,180.250.13.34,google.com
499,19:33:33.240841,180.250.13.34,google.com
502,19:33:33.736747,180.250.13.34,mongodb.net
504,19:33:38.280950,180.250.13.34,googleapis.com
505,19:33:38.281641,180.250.13.34,googleapis.com
508,19:33:38.866539,180.250.13.34,tableau.com
509,19:33:38.867959,180.250.13.34,tableau.com
512,19:33:39.966859,180.250.13.34,cookielaw.org
513,19:33:39.967234,180.250.13.34,cookielaw.org
516,19:33:41.552517,180.250.13.34,newrelic.com
517,19:33:41.552826,180.250.13.34,newrelic.com
520,19:33:41.746652,180.250.13.34,tblsft.com
521,19:33:41.746949,180.250.13.34,tblsft.com
522,19:33:41.850816,180.250.13.34,gvt2.com
523,19:33:41.851177,180.250.13.34,gvt2.com
528,19:33:42.191835,180.250.13.34,mongodb.net
530,19:33:42.675926,180.250.13.34,msftconnecttest.com
532,19:33:45.211068,180.250.13.34,mongodb.net
534,19:33:50.659976,180.250.13.34,nel.goog
535,19:33:50.660943,180.250.13.34,nel.goog
538,19:33:58.401135,180.250.13.34,gstatic.com
539,19:33:58.401776,180.250.13.34,gstatic.com
542,19:33:59.965038,180.250.13.34,akamaihd.net
544,19:34:07.080086,180.250.13.34,google.com
545,19:34:07.080907,180.250.13.34,google.com
548,19:34:23.236880,180.250.13.34,tableau.com
549,19:34:23.237176,180.250.13.34,tableau.com
552,19:34:24.712025,180.250.13.34,googletagmanager.com
553,19:34:24.712360,180.250.13.34,googletagmanager.com
556,19:34:25.974929,180.250.13.34,googleapis.com
557,19:34:25.975299,180.250.13.34,googleapis.com
560,19:34:26.071760,180.250.13.34,googleapis.com
561,19:34:26.074176,180.250.13.34,googleapis.com
564,19:34:32.071294,180.250.13.34,googleapis.com
565,19:34:32.071717,180.250.13.34,googleapis.com
568,19:34:37.940525,180.250.13.34,mongodb.net
569,19:34:38.509698,180.250.13.34,amazonaws.com
570,19:34:38.510140,180.250.13.34,amazonaws.com
574,19:34:38.743691,180.250.13.34,google-analytics.com
575,19:34:38.743909,180.250.13.34,google-analytics.com
578,19:34:42.756468,180.250.13.34,msftconnecttest.com
580,19:34:48.762503,180.250.13.34,mongodb.net
582,19:34:50.669711,180.250.13.34,nel.goog
583,19:34:50.669987,180.250.13.34,nel.goog
584,19:34:50.670393,180.250.13.34,gvt2.com
585,19:34:50.670603,180.250.13.34,gvt2.com
590,19:34:52.414729,180.250.13.34,tableau.com
591,19:34:52.415059,180.250.13.34,tableau.com
592,19:34:52.485327,180.250.13.34,mongodb.net
594,19:34:52.717748,180.250.13.34,doubleclick.net
595,19:34:52.718003,180.250.13.34,doubleclick.net
600,19:35:13.574581,180.250.13.34,google.com
601,19:35:13.574959,180.250.13.34,google.com
604,19:35:16.447032,180.250.13.34,google.com
605,19:35:16.447415,180.250.13.34,google.com
608,19:35:17.246147,180.250.13.34,google.com
609,19:35:17.246461,180.250.13.34,google.com
612,19:35:22.391844,180.250.13.34,gmail.com
613,19:35:22.392230,180.250.13.34,gmail.com
616,19:35:22.508903,180.250.13.34,google.com
617,19:35:22.509190,180.250.13.34,google.com
620,19:35:25.357190,180.250.13.34,googleapis.com
621,19:35:25.357527,180.250.13.34,googleapis.com
624,19:35:25.417989,180.250.13.34,gstatic.com
625,19:35:25.418224,180.250.13.34,gstatic.com
628,19:35:26.377384,180.250.13.34,gstatic.com
629,19:35:26.377736,180.250.13.34,gstatic.com
632,19:35:26.448558,180.250.13.34,googleusercontent.com
633,19:35:26.448842,180.250.13.34,googleusercontent.com
636,19:35:26.864081,180.250.13.34,googleapis.com
637,19:35:26.864324,180.250.13.34,googleapis.com
640,19:35:27.396316,180.250.13.34,google.com
641,19:35:27.396582,180.250.13.34,google.com
644,19:35:27.427312,180.250.13.34,gstatic.com
645,19:35:27.427662,180.250.13.34,gstatic.com
648,19:35:27.732863,180.250.13.34,google.com
649,19:35:27.733161,180.250.13.34,google.com
652,19:35:29.654793,180.250.13.34,google.com
653,19:35:29.655160,180.250.13.34,google.com
656,19:35:29.912237,180.250.13.34,google.com
657,19:35:29.912511,180.250.13.34,google.com
660,19:35:29.932817,180.250.13.34,google.com
661,19:35:29.933337,180.250.13.34,google.com
664,19:35:30.423472,180.250.13.34,google.com
665,19:35:30.423850,180.250.13.34,google.com
668,19:35:30.563685,180.250.13.34,google.com
669,19:35:30.564074,180.250.13.34,google.com
672,19:35:31.009208,180.250.13.34,google.com
673,19:35:31.009487,180.250.13.34,google.com
676,19:35:31.062235,180.250.13.34,google.com
677,19:35:31.062599,180.250.13.34,google.com
680,19:35:31.615202,180.250.13.34,googleusercontent.com
681,19:35:31.615598,180.250.13.34,googleusercontent.com
684,19:35:34.619878,180.250.13.34,mandrillapp.com
685,19:35:34.620196,180.250.13.34,mandrillapp.com
688,19:35:35.750370,180.250.13.34,bing.com
690,19:35:36.657999,180.250.13.34,bing.com
692,19:35:38.270322,180.250.13.34,mongodb.net
694,19:35:38.995611,180.250.13.34,polyfill.io
695,19:35:38.996247,180.250.13.34,polyfill.io
698,19:35:39.403777,180.250.13.34,linkedin.com
699,19:35:39.404064,180.250.13.34,linkedin.com
702,19:35:39.875485,180.250.13.34,msn.com
704,19:35:40.270534,180.250.13.34,microsoft.com
706,19:35:42.107395,180.250.13.34,launchdarkly.com
707,19:35:42.107614,180.250.13.34,launchdarkly.com
710,19:35:42.878897,180.250.13.34,msftconnecttest.com
712,19:35:50.053999,180.250.13.34,tableau.com
713,19:35:50.054227,180.250.13.34,tableau.com
716,19:35:50.683558,180.250.13.34,gvt2.com
717,19:35:50.683843,180.250.13.34,gvt2.com
720,19:35:53.674409,180.250.13.34,akamaihd.net
722,19:35:54.170493,180.250.13.34,mongodb.net
724,19:35:57.605590,180.250.13.34,tableau.com
725,19:35:57.605983,180.250.13.34,tableau.com
728,19:36:03.059402,180.250.13.34,mongodb.net
730,19:36:15.545296,180.250.13.34,msn.com
732,19:36:22.975380,180.250.13.34,google.com
733,19:36:22.975677,180.250.13.34,google.com
736,19:36:23.089205,180.250.13.34,gvt2.com
737,19:36:23.089462,180.250.13.34,gvt2.com
740,19:36:32.032739,180.250.13.34,tableau.com
741,19:36:32.033160,180.250.13.34,tableau.com
744,19:36:33.573630,180.250.13.34,intellimize.co
745,19:36:33.574014,180.250.13.34,intellimize.co
746,19:36:33.677623,180.250.13.34,doubleclick.net
747,19:36:33.677871,180.250.13.34,doubleclick.net
751,19:36:33.749586,180.250.13.34,googleadservices.com
752,19:36:33.750183,180.250.13.34,googleadservices.com
753,19:36:33.760641,180.250.13.34,doubleclick.net
754,19:36:33.761036,180.250.13.34,doubleclick.net
757,19:36:33.765228,180.250.13.34,quora.com
758,19:36:33.765712,180.250.13.34,quora.com
764,19:36:34.016053,180.250.13.34,doubleclick.net
765,19:36:34.016825,180.250.13.34,doubleclick.net
768,19:36:34.025122,180.250.13.34,google.com
769,19:36:34.025366,180.250.13.34,google.com
770,19:36:34.025790,180.250.13.34,google.co.id
771,19:36:34.026024,180.250.13.34,google.co.id
776,19:36:34.278294,180.250.13.34,google.com
777,19:36:34.278648,180.250.13.34,google.com
778,19:36:34.279418,180.250.13.34,siteimproveanalytics.io
779,19:36:34.279662,180.250.13.34,siteimproveanalytics.io
783,19:36:34.921798,180.250.13.34,intellimizeio.com
784,19:36:34.922184,180.250.13.34,intellimizeio.com
